Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,24.9
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Drama,v21419936,1.1.1.11,27.3
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,5.3
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,5.2
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,4.6
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,4.2
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,4.5
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,4.5
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Videocassette recorder (VCR),v21419937,1.1.1.12,4.9
1998,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,5.4
1999,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,3.4
2000,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,2.9
2001,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,2.1
2002,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,2.3
2003,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,2.1
2004,Canada,"Total, all persons two years and older","Total, all television programmes, Canadian and foreign",Other television programmes,v21419938,1.1.1.13,2.9
1998,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,38.9
1999,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,38.5
2000,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,39.2
2001,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,38.9
2002,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,39.3
2003,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,40.2
2004,Canada,"Total, all persons two years and older",Canadian television programmes,"Total, all types of television programmes",v21419939,1.1.2.1,37.2
1998,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,18.1
1999,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,18.3
2000,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,19.4
2001,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,19.6
2002,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,18.9
2003,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,19.8
2004,Canada,"Total, all persons two years and older",Canadian television programmes,News and public affairs,v21419940,1.1.2.2,18.4
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,0.8
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,0.9
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,1.3
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,1.7
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,1.5
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,1.7
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Documentary,v21419941,1.1.2.3,1.3
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.1
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.2
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.4
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.4
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.6
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.5
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Academic instruction,v21419942,1.1.2.4,1.7
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.4
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.3
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.4
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.5
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.4
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.5
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Social and/or recreational instruction,v21419943,1.1.2.5,0.4
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Religion,v21419944,1.1.2.6,0.2
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,6.1
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,5.1
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,4.8
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,4.7
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,5.5
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,5.1
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Sports,v21419945,1.1.2.7,2.9
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,5.0
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,4.3
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,3.8
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,3.0
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,3.5
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,4.5
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Variety and games,v21419946,1.1.2.8,4.6
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.8
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.8
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,1.0
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.8
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.7
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.9
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Music and dance,v21419947,1.1.2.9,0.8
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.1
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,0.9
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.2
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.6
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.5
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.3
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Comedy,v21419948,1.1.2.10,1.6
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,5.4
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,6.4
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,5.8
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,5.5
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,5.5
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,4.9
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Drama,v21419949,1.1.2.11,5.3
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Videocassette recorder (VCR),v21419950,1.1.2.12,0.0
1998,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
1999,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
2000,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
2001,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
2002,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
2003,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
2004,Canada,"Total, all persons two years and older",Canadian television programmes,Other television programmes,v21419951,1.1.2.13,0.0
1998,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,61.1
1999,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,61.5
2000,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,60.8
2001,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,61.1
2002,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,60.7
2003,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,59.8
2004,Canada,"Total, all persons two years and older",Foreign television programmes,"Total, all types of television programmes",v21419952,1.1.3.1,62.8
1998,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,5.3
1999,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,4.6
2000,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,4.7
2001,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,6.3
2002,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,6.3
2003,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,6.4
2004,Canada,"Total, all persons two years and older",Foreign television programmes,News and public affairs,v21419953,1.1.3.2,6.0
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,1.8
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,2.1
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,2.4
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,2.2
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,2.1
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,2.1
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Documentary,v21419954,1.1.3.3,1.9
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,0.7
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,1.1
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,0.9
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,1.1
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,1.9
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,1.8
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Academic instruction,v21419955,1.1.3.4,1.5
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.8
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.8
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.8
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.7
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.8
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.7
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Social and/or recreational instruction,v21419956,1.1.3.5,0.6
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.2
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Religion,v21419957,1.1.3.6,0.1
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,2.3
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,3.1
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,3.6
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,3.8
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,2.8
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,3.1
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Sports,v21419958,1.1.3.7,3.6
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,5.6
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,7.5
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,8.1
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,8.4
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,8.1
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,8.4
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Variety and games,v21419959,1.1.3.8,10.7
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.3
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.4
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.3
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.4
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.3
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.3
2004,Canada,"Total, all persons two years and older",Foreign television programmes,Music and dance,v21419960,1.1.3.9,0.2
1998,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,10.5
1999,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,10.2
2000,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,10.6
2001,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,9.8
2002,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,9.9
2003,Canada,"Total, all persons two years and older",Foreign television programmes,Comedy,v21419961,1.1.3.10,10.1
